stem,class,deixis,tam
l-á-àvə̀ðàc-í,l,ventive,imperfective
l-à-ávə̀ðàc-ì,l,itive,perfective
j-àvə̀ðàc-í,j,ventive,perfective
j-àvə̀ðàc-ì,j,itive,dependent
j-àvə̀ðàc-à,j,ventive,dependent
j-á-ávə̀ðàc-à,j,itive,imperfective
j-á-àvə̀ðàc-í,j,ventive,imperfective
j-à-ávə̀ðàc-ì,j,itive,perfective
g-àvə̀ðàc-í,g,ventive,perfective
g-àvə̀ðàc-ì,g,itive,dependent
g-àvə̀ðàc-à,g,ventive,dependent
g-á-ávə̀ðàc-à,g,itive,imperfective
g-á-àvə̀ðàc-í,g,ventive,imperfective
g-à-ávə̀ðàc-ì,g,itive,perfective
káɾc-í,unmarked,itive,imperative
káɾ́c-í,unmarked,itive,imperative
kàɾc-á,unmarked,ventive,imperative
kàɾ̀c-á,unmarked,ventive,imperative
ɲə̀-kàɾc-í,ɲ,ventive,perfective
ɲə̀-kàɾc-ì,ɲ,itive,dependent
ɲə̀-kàɾc-à,ɲ,ventive,dependent
ɲə̀-kàɾ̀c-í,ɲ,ventive,perfective
ɲə̀-kàɾ̀c-ì,ɲ,itive,dependent
ɲə̀-kàɾ̀c-à,ɲ,ventive,dependent
ɲ-á-káɾc-à,ɲ,itive,imperfective
ɲ-á-káɾ̀c-à,ɲ,itive,imperfective
ɲ-á-kàɾc-í,ɲ,ventive,imperfective
ɲ-á-kàɾ̀c-í,ɲ,ventive,imperfective
ɲ-à-káɾc-ì,ɲ,itive,perfective
ɲ-à-káɾ̀c-ì,ɲ,itive,perfective
ŋə̀-kàɾc-í,ŋ,ventive,perfective
ŋə̀-kàɾc-ì,ŋ,itive,dependent
ŋə̀-kàɾc-à,ŋ,ventive,dependent
ŋə̀-kàɾ̀c-í,ŋ,ventive,perfective
ŋə̀-kàɾ̀c-ì,ŋ,itive,dependent
ŋə̀-kàɾ̀c-à,ŋ,ventive,dependent
ŋ-á-káɾc-à,ŋ,itive,imperfective
ŋ-á-káɾ̀c-à,ŋ,itive,imperfective
ŋ-á-kàɾc-í,ŋ,ventive,imperfective
ŋ-á-kàɾ̀c-í,ŋ,ventive,imperfective
ŋ-à-káɾc-ì,ŋ,itive,perfective
ŋ-à-káɾ̀c-ì,ŋ,itive,perfective
ðə́-káɾc-á,ð,unmarked,infinitive
ðə́-káɾ́c-á,ð,unmarked,infinitive
ðə̀-kàɾc-í,ð,ventive,perfective
ðə̀-kàɾc-ì,ð,itive,dependent
ðə̀-kàɾc-à,ð,ventive,dependent
ðə̀-kàɾ̀c-í,ð,ventive,perfective
ðə̀-kàɾ̀c-ì,ð,itive,dependent
ðə̀-kàɾ̀c-à,ð,ventive,dependent
ð-á-káɾc-à,ð,itive,imperfective
ð-á-káɾ̀c-à,ð,itive,imperfective
ð-á-kàɾc-í,ð,ventive,imperfective
ð-á-kàɾ̀c-í,ð,ventive,imperfective
ð-à-káɾc-ì,ð,itive,perfective
ð-à-káɾ̀c-ì,ð,itive,perfective
t̪ə̀-kàɾc-í,t̪,ventive,perfective
t̪ə̀-kàɾc-ì,t̪,itive,dependent
t̪ə̀-kàɾc-à,t̪,ventive,dependent
t̪ə̀-kàɾ̀c-í,t̪,ventive,perfective
t̪ə̀-kàɾ̀c-ì,t̪,itive,dependent
t̪ə̀-kàɾ̀c-à,t̪,ventive,dependent
t̪-á-káɾc-à,t̪,itive,imperfective
t̪-á-káɾ̀c-à,t̪,itive,imperfective
t̪-á-kàɾc-í,t̪,ventive,imperfective
t̪-á-kàɾ̀c-í,t̪,ventive,imperfective
t̪-à-káɾc-ì,t̪,itive,perfective
t̪-à-káɾ̀c-ì,t̪,itive,perfective
rə̀-kàɾc-í,r,ventive,perfective
rə̀-kàɾc-ì,r,itive,dependent
rə̀-kàɾc-à,r,ventive,dependent
rə̀-kàɾ̀c-í,r,ventive,perfective
rə̀-kàɾ̀c-ì,r,itive,dependent
rə̀-kàɾ̀c-à,r,ventive,dependent
r-á-káɾc-à,r,itive,imperfective
r-á-káɾ̀c-à,r,itive,imperfective
r-á-kàɾc-í,r,ventive,imperfective
r-á-kàɾ̀c-í,r,ventive,imperfective
r-à-káɾc-ì,r,itive,perfective
r-à-káɾ̀c-ì,r,itive,perfective
nə̀-kàɾc-í,n,ventive,perfective
nə̀-kàɾc-ì,n,itive,dependent
nə̀-kàɾc-à,n,ventive,dependent
nə̀-kàɾ̀c-í,n,ventive,perfective
nə̀-kàɾ̀c-ì,n,itive,dependent
nə̀-kàɾ̀c-à,n,ventive,dependent
n-á-káɾc-à,n,itive,imperfective
n-á-káɾ̀c-à,n,itive,imperfective
n-á-kàɾc-í,n,ventive,imperfective
n-á-kàɾ̀c-í,n,ventive,imperfective
n-à-káɾc-ì,n,itive,perfective
n-à-káɾ̀c-ì,n,itive,perfective
lə̀-kàɾc-í,l,ventive,perfective
lə̀-kàɾc-ì,l,itive,dependent
lə̀-kàɾc-à,l,ventive,dependent
lə̀-kàɾ̀c-í,l,ventive,perfective
lə̀-kàɾ̀c-ì,l,itive,dependent
lə̀-kàɾ̀c-à,l,ventive,dependent
l-á-káɾc-à,l,itive,imperfective
l-á-káɾ̀c-à,l,itive,imperfective
l-á-kàɾc-í,l,ventive,imperfective
l-á-kàɾ̀c-í,l,ventive,imperfective
l-à-káɾc-ì,l,itive,perfective
l-à-káɾ̀c-ì,l,itive,perfective
jə̀-kàɾc-í,j,ventive,perfective
jə̀-kàɾc-ì,j,itive,dependent
jə̀-kàɾc-à,j,ventive,dependent
jə̀-kàɾ̀c-í,j,ventive,perfective
jə̀-kàɾ̀c-ì,j,itive,dependent
jə̀-kàɾ̀c-à,j,ventive,dependent
j-á-káɾc-à,j,itive,imperfective
j-á-káɾ̀c-à,j,itive,imperfective
j-á-kàɾc-í,j,ventive,imperfective
j-á-kàɾ̀c-í,j,ventive,imperfective
j-à-káɾc-ì,j,itive,perfective
j-à-káɾ̀c-ì,j,itive,perfective
gə̀-kàɾc-í,g,ventive,perfective
gə̀-kàɾc-ì,g,itive,dependent
gə̀-kàɾc-à,g,ventive,dependent
gə̀-kàɾ̀c-í,g,ventive,perfective
gə̀-kàɾ̀c-ì,g,itive,dependent
gə̀-kàɾ̀c-à,g,ventive,dependent
g-á-káɾc-à,g,itive,imperfective
g-á-káɾ̀c-à,g,itive,imperfective
g-á-kàɾc-í,g,ventive,imperfective
g-á-kàɾ̀c-í,g,ventive,imperfective
g-à-káɾc-ì,g,itive,perfective
g-à-káɾ̀c-ì,g,itive,perfective
lác-í,unmarked,itive,imperative
làc-á,unmarked,ventive,imperative
ĺác-í,unmarked,itive,imperative
l̀àc-á,unmarked,ventive,imperative
ɲə̀-làc-í,ɲ,ventive,perfective
ɲə̀-làc-ì,ɲ,itive,dependent
ɲə̀-làc-à,ɲ,ventive,dependent
ɲə̀-l̀àc-í,ɲ,ventive,perfective
ɲə̀-l̀àc-ì,ɲ,itive,dependent
ɲə̀-l̀àc-à,ɲ,ventive,dependent
ɲ-á-lác-à,ɲ,itive,imperfective
ɲ-á-làc-í,ɲ,ventive,imperfective
ɲ-á-ĺàc-à,ɲ,itive,imperfective
ɲ-á-l̀àc-í,ɲ,ventive,imperfective
ɲ-à-lác-ì,ɲ,itive,perfective
ɲ-à-ĺàc-ì,ɲ,itive,perfective
ŋə̀-làc-í,ŋ,ventive,perfective
ŋə̀-làc-ì,ŋ,itive,dependent
ŋə̀-làc-à,ŋ,ventive,dependent
ŋə̀-l̀àc-í,ŋ,ventive,perfective
ŋə̀-l̀àc-ì,ŋ,itive,dependent
ŋə̀-l̀àc-à,ŋ,ventive,dependent
ŋ-á-lác-à,ŋ,itive,imperfective
ŋ-á-làc-í,ŋ,ventive,imperfective
ŋ-á-ĺàc-à,ŋ,itive,imperfective
ŋ-á-l̀àc-í,ŋ,ventive,imperfective
ŋ-à-lác-ì,ŋ,itive,perfective
ŋ-à-ĺàc-ì,ŋ,itive,perfective
ðə́-lác-á,ð,unmarked,infinitive
ðə́-ĺác-á,ð,unmarked,infinitive
ðə̀-làc-í,ð,ventive,perfective
ðə̀-làc-ì,ð,itive,dependent
ðə̀-làc-à,ð,ventive,dependent
ðə̀-l̀àc-í,ð,ventive,perfective
ðə̀-l̀àc-ì,ð,itive,dependent
ðə̀-l̀àc-à,ð,ventive,dependent
ð-á-lác-à,ð,itive,imperfective
ð-á-làc-í,ð,ventive,imperfective
ð-á-ĺàc-à,ð,itive,imperfective
ð-á-l̀àc-í,ð,ventive,imperfective
ð-à-lác-ì,ð,itive,perfective
ð-à-ĺàc-ì,ð,itive,perfective
t̪ə̀-làc-í,t̪,ventive,perfective
t̪ə̀-làc-ì,t̪,itive,dependent
t̪ə̀-làc-à,t̪,ventive,dependent
t̪ə̀-l̀àc-í,t̪,ventive,perfective
t̪ə̀-l̀àc-ì,t̪,itive,dependent
t̪ə̀-l̀àc-à,t̪,ventive,dependent
t̪-á-lác-à,t̪,itive,imperfective
t̪-á-làc-í,t̪,ventive,imperfective
t̪-á-ĺàc-à,t̪,itive,imperfective
t̪-á-l̀àc-í,t̪,ventive,imperfective
t̪-à-lác-ì,t̪,itive,perfective
t̪-à-ĺàc-ì,t̪,itive,perfective
rə̀-làc-í,r,ventive,perfective
rə̀-làc-ì,r,itive,dependent
rə̀-làc-à,r,ventive,dependent
rə̀-l̀àc-í,r,ventive,perfective
rə̀-l̀àc-ì,r,itive,dependent
rə̀-l̀àc-à,r,ventive,dependent
r-á-lác-à,r,itive,imperfective
r-á-làc-í,r,ventive,imperfective
r-á-ĺàc-à,r,itive,imperfective
r-á-l̀àc-í,r,ventive,imperfective
r-à-lác-ì,r,itive,perfective
r-à-ĺàc-ì,r,itive,perfective
nə̀-làc-í,n,ventive,perfective
nə̀-làc-ì,n,itive,dependent
nə̀-làc-à,n,ventive,dependent
nə̀-l̀àc-í,n,ventive,perfective
nə̀-l̀àc-ì,n,itive,dependent
nə̀-l̀àc-à,n,ventive,dependent
n-á-lác-à,n,itive,imperfective
n-á-làc-í,n,ventive,imperfective
n-á-ĺàc-à,n,itive,imperfective
n-á-l̀àc-í,n,ventive,imperfective
n-à-lác-ì,n,itive,perfective
n-à-ĺàc-ì,n,itive,perfective
lə̀-làc-í,l,ventive,perfective
lə̀-làc-ì,l,itive,dependent
lə̀-làc-à,l,ventive,dependent
lə̀-l̀àc-í,l,ventive,perfective
lə̀-l̀àc-ì,l,itive,dependent
lə̀-l̀àc-à,l,ventive,dependent
l-á-lác-à,l,itive,imperfective
l-á-làc-í,l,ventive,imperfective
l-á-ĺàc-à,l,itive,imperfective
l-á-l̀àc-í,l,ventive,imperfective
l-à-lác-ì,l,itive,perfective
l-à-ĺàc-ì,l,itive,perfective
jə̀-làc-í,j,ventive,perfective
jə̀-làc-ì,j,itive,dependent
jə̀-làc-à,j,ventive,dependent
jə̀-l̀àc-í,j,ventive,perfective
jə̀-l̀àc-ì,j,itive,dependent
jə̀-l̀àc-à,j,ventive,dependent
j-á-lác-à,j,itive,imperfective
j-á-làc-í,j,ventive,imperfective
j-á-ĺàc-à,j,itive,imperfective
j-á-l̀àc-í,j,ventive,imperfective
j-à-lác-ì,j,itive,perfective
j-à-ĺàc-ì,j,itive,perfective
gə̀-làc-í,g,ventive,perfective
gə̀-làc-ì,g,itive,dependent
gə̀-làc-à,g,ventive,dependent
gə̀-l̀àc-í,g,ventive,perfective
gə̀-l̀àc-ì,g,itive,dependent
gə̀-l̀àc-à,g,ventive,dependent
g-á-lác-à,g,itive,imperfective
g-á-làc-í,g,ventive,imperfective
g-á-ĺàc-à,g,itive,imperfective
g-á-l̀àc-í,g,ventive,imperfective
g-à-lác-ì,g,itive,perfective
g-à-ĺàc-ì,g,itive,perfective
lɛ́ŋc-í,unmarked,itive,imperative
lɛ́ŋ́c-í,unmarked,itive,imperative
lɛ̀ŋc-á,unmarked,ventive,imperative
lɛ̀ŋ̀c-á,unmarked,ventive,imperative
ĺɛ́ŋc-í,unmarked,itive,imperative
ĺɛ́ŋ́c-í,unmarked,itive,imperative
l̀ɛ̀ŋc-á,unmarked,ventive,imperative
l̀ɛ̀ŋ̀c-á,unmarked,ventive,imperative
ɲə̀-lɛ̀ŋc-í,ɲ,ventive,perfective
ɲə̀-lɛ̀ŋc-ì,ɲ,itive,dependent
ɲə̀-lɛ̀ŋc-à,ɲ,ventive,dependent
ɲə̀-lɛ̀ŋ̀c-í,ɲ,ventive,perfective
ɲə̀-lɛ̀ŋ̀c-ì,ɲ,itive,dependent
ɲə̀-lɛ̀ŋ̀c-à,ɲ,ventive,dependent
ɲə̀-l̀ɛ̀ŋc-í,ɲ,ventive,perfective
ɲə̀-l̀ɛ̀ŋc-ì,ɲ,itive,dependent
ɲə̀-l̀ɛ̀ŋc-à,ɲ,ventive,dependent
ɲə̀-l̀ɛ̀ŋ̀c-í,ɲ,ventive,perfective
ɲə̀-l̀ɛ̀ŋ̀c-ì,ɲ,itive,dependent
ɲə̀-l̀ɛ̀ŋ̀c-à,ɲ,ventive,dependent
ɲ-á-lɛ́ŋc-à,ɲ,itive,imperfective
ɲ-á-lɛ́ŋ̀c-à,ɲ,itive,imperfective
ɲ-á-lɛ̀ŋc-í,ɲ,ventive,imperfective
ɲ-á-lɛ̀ŋ̀c-í,ɲ,ventive,imperfective
ɲ-á-ĺɛ̀ŋc-à,ɲ,itive,imperfective
ɲ-á-ĺɛ̀ŋ̀c-à,ɲ,itive,imperfective
ɲ-á-l̀ɛ̀ŋc-í,ɲ,ventive,imperfective
ɲ-á-l̀ɛ̀ŋ̀c-í,ɲ,ventive,imperfective
ɲ-à-lɛ́ŋc-ì,ɲ,itive,perfective
ɲ-à-lɛ́ŋ̀c-ì,ɲ,itive,perfective
ɲ-à-ĺɛ̀ŋc-ì,ɲ,itive,perfective
ɲ-à-ĺɛ̀ŋ̀c-ì,ɲ,itive,perfective
ŋə̀-lɛ̀ŋc-í,ŋ,ventive,perfective
ŋə̀-lɛ̀ŋc-ì,ŋ,itive,dependent
ŋə̀-lɛ̀ŋc-à,ŋ,ventive,dependent
ŋə̀-lɛ̀ŋ̀c-í,ŋ,ventive,perfective
ŋə̀-lɛ̀ŋ̀c-ì,ŋ,itive,dependent
ŋə̀-lɛ̀ŋ̀c-à,ŋ,ventive,dependent
ŋə̀-l̀ɛ̀ŋc-í,ŋ,ventive,perfective
ŋə̀-l̀ɛ̀ŋc-ì,ŋ,itive,dependent
ŋə̀-l̀ɛ̀ŋc-à,ŋ,ventive,dependent
ŋə̀-l̀ɛ̀ŋ̀c-í,ŋ,ventive,perfective
ŋə̀-l̀ɛ̀ŋ̀c-ì,ŋ,itive,dependent
ŋə̀-l̀ɛ̀ŋ̀c-à,ŋ,ventive,dependent
ŋ-á-lɛ́ŋc-à,ŋ,itive,imperfective
ŋ-á-lɛ́ŋ̀c-à,ŋ,itive,imperfective
ŋ-á-lɛ̀ŋc-í,ŋ,ventive,imperfective
ŋ-á-lɛ̀ŋ̀c-í,ŋ,ventive,imperfective
ŋ-á-ĺɛ̀ŋc-à,ŋ,itive,imperfective
ŋ-á-ĺɛ̀ŋ̀c-à,ŋ,itive,imperfective
ŋ-á-l̀ɛ̀ŋc-í,ŋ,ventive,imperfective
ŋ-á-l̀ɛ̀ŋ̀c-í,ŋ,ventive,imperfective
ŋ-à-lɛ́ŋc-ì,ŋ,itive,perfective
ŋ-à-lɛ́ŋ̀c-ì,ŋ,itive,perfective
ŋ-à-ĺɛ̀ŋc-ì,ŋ,itive,perfective
ŋ-à-ĺɛ̀ŋ̀c-ì,ŋ,itive,perfective
ðə́-lɛ́ŋc-á,ð,unmarked,infinitive
ðə́-lɛ́ŋ́c-á,ð,unmarked,infinitive
ðə́-ĺɛ́ŋc-á,ð,unmarked,infinitive
ðə́-ĺɛ́ŋ́c-á,ð,unmarked,infinitive
ðə̀-lɛ̀ŋc-í,ð,ventive,perfective
ðə̀-lɛ̀ŋc-ì,ð,itive,dependent
ðə̀-lɛ̀ŋc-à,ð,ventive,dependent
ðə̀-lɛ̀ŋ̀c-í,ð,ventive,perfective
ðə̀-lɛ̀ŋ̀c-ì,ð,itive,dependent
ðə̀-lɛ̀ŋ̀c-à,ð,ventive,dependent
ðə̀-l̀ɛ̀ŋc-í,ð,ventive,perfective
ðə̀-l̀ɛ̀ŋc-ì,ð,itive,dependent
ðə̀-l̀ɛ̀ŋc-à,ð,ventive,dependent
ðə̀-l̀ɛ̀ŋ̀c-í,ð,ventive,perfective
ðə̀-l̀ɛ̀ŋ̀c-ì,ð,itive,dependent
ðə̀-l̀ɛ̀ŋ̀c-à,ð,ventive,dependent
ð-á-lɛ́ŋc-à,ð,itive,imperfective
ð-á-lɛ́ŋ̀c-à,ð,itive,imperfective
ð-á-lɛ̀ŋc-í,ð,ventive,imperfective
ð-á-lɛ̀ŋ̀c-í,ð,ventive,imperfective
ð-á-ĺɛ̀ŋc-à,ð,itive,imperfective
ð-á-ĺɛ̀ŋ̀c-à,ð,itive,imperfective
ð-á-l̀ɛ̀ŋc-í,ð,ventive,imperfective
ð-á-l̀ɛ̀ŋ̀c-í,ð,ventive,imperfective
ð-à-lɛ́ŋc-ì,ð,itive,perfective
ð-à-lɛ́ŋ̀c-ì,ð,itive,perfective
ð-à-ĺɛ̀ŋc-ì,ð,itive,perfective
ð-à-ĺɛ̀ŋ̀c-ì,ð,itive,perfective
t̪ə̀-lɛ̀ŋc-í,t̪,ventive,perfective
t̪ə̀-lɛ̀ŋc-ì,t̪,itive,dependent
t̪ə̀-lɛ̀ŋc-à,t̪,ventive,dependent
t̪ə̀-lɛ̀ŋ̀c-í,t̪,ventive,perfective
t̪ə̀-lɛ̀ŋ̀c-ì,t̪,itive,dependent
t̪ə̀-lɛ̀ŋ̀c-à,t̪,ventive,dependent
t̪ə̀-l̀ɛ̀ŋc-í,t̪,ventive,perfective
t̪ə̀-l̀ɛ̀ŋc-ì,t̪,itive,dependent
t̪ə̀-l̀ɛ̀ŋc-à,t̪,ventive,dependent
t̪ə̀-l̀ɛ̀ŋ̀c-í,t̪,ventive,perfective
t̪ə̀-l̀ɛ̀ŋ̀c-ì,t̪,itive,dependent
t̪ə̀-l̀ɛ̀ŋ̀c-à,t̪,ventive,dependent
t̪-á-lɛ́ŋc-à,t̪,itive,imperfective
t̪-á-lɛ́ŋ̀c-à,t̪,itive,imperfective
t̪-á-lɛ̀ŋc-í,t̪,ventive,imperfective
t̪-á-lɛ̀ŋ̀c-í,t̪,ventive,imperfective
t̪-á-ĺɛ̀ŋc-à,t̪,itive,imperfective
t̪-á-ĺɛ̀ŋ̀c-à,t̪,itive,imperfective
t̪-á-l̀ɛ̀ŋc-í,t̪,ventive,imperfective
t̪-á-l̀ɛ̀ŋ̀c-í,t̪,ventive,imperfective
t̪-à-lɛ́ŋc-ì,t̪,itive,perfective
t̪-à-lɛ́ŋ̀c-ì,t̪,itive,perfective
t̪-à-ĺɛ̀ŋc-ì,t̪,itive,perfective
t̪-à-ĺɛ̀ŋ̀c-ì,t̪,itive,perfective
rə̀-lɛ̀ŋc-í,r,ventive,perfective
rə̀-lɛ̀ŋc-ì,r,itive,dependent
rə̀-lɛ̀ŋc-à,r,ventive,dependent
rə̀-lɛ̀ŋ̀c-í,r,ventive,perfective
rə̀-lɛ̀ŋ̀c-ì,r,itive,dependent
rə̀-lɛ̀ŋ̀c-à,r,ventive,dependent
rə̀-l̀ɛ̀ŋc-í,r,ventive,perfective
rə̀-l̀ɛ̀ŋc-ì,r,itive,dependent
rə̀-l̀ɛ̀ŋc-à,r,ventive,dependent
rə̀-l̀ɛ̀ŋ̀c-í,r,ventive,perfective
rə̀-l̀ɛ̀ŋ̀c-ì,r,itive,dependent
rə̀-l̀ɛ̀ŋ̀c-à,r,ventive,dependent
r-á-lɛ́ŋc-à,r,itive,imperfective
r-á-lɛ́ŋ̀c-à,r,itive,imperfective
r-á-lɛ̀ŋc-í,r,ventive,imperfective
r-á-lɛ̀ŋ̀c-í,r,ventive,imperfective
r-á-ĺɛ̀ŋc-à,r,itive,imperfective
r-á-ĺɛ̀ŋ̀c-à,r,itive,imperfective
r-á-l̀ɛ̀ŋc-í,r,ventive,imperfective
r-á-l̀ɛ̀ŋ̀c-í,r,ventive,imperfective
r-à-lɛ́ŋc-ì,r,itive,perfective
r-à-lɛ́ŋ̀c-ì,r,itive,perfective
r-à-ĺɛ̀ŋc-ì,r,itive,perfective
r-à-ĺɛ̀ŋ̀c-ì,r,itive,perfective
nə̀-lɛ̀ŋc-í,n,ventive,perfective
nə̀-lɛ̀ŋc-ì,n,itive,dependent
nə̀-lɛ̀ŋc-à,n,ventive,dependent
nə̀-lɛ̀ŋ̀c-í,n,ventive,perfective
nə̀-lɛ̀ŋ̀c-ì,n,itive,dependent
nə̀-lɛ̀ŋ̀c-à,n,ventive,dependent
nə̀-l̀ɛ̀ŋc-í,n,ventive,perfective
nə̀-l̀ɛ̀ŋc-ì,n,itive,dependent
nə̀-l̀ɛ̀ŋc-à,n,ventive,dependent
nə̀-l̀ɛ̀ŋ̀c-í,n,ventive,perfective
nə̀-l̀ɛ̀ŋ̀c-ì,n,itive,dependent
nə̀-l̀ɛ̀ŋ̀c-à,n,ventive,dependent
n-á-lɛ́ŋc-à,n,itive,imperfective
n-á-lɛ́ŋ̀c-à,n,itive,imperfective
n-á-lɛ̀ŋc-í,n,ventive,imperfective
n-á-lɛ̀ŋ̀c-í,n,ventive,imperfective
n-á-ĺɛ̀ŋc-à,n,itive,imperfective
n-á-ĺɛ̀ŋ̀c-à,n,itive,imperfective
n-á-l̀ɛ̀ŋc-í,n,ventive,imperfective
n-á-l̀ɛ̀ŋ̀c-í,n,ventive,imperfective
n-à-lɛ́ŋc-ì,n,itive,perfective
n-à-lɛ́ŋ̀c-ì,n,itive,perfective
n-à-ĺɛ̀ŋc-ì,n,itive,perfective
n-à-ĺɛ̀ŋ̀c-ì,n,itive,perfective
lə̀-lɛ̀ŋc-í,l,ventive,perfective
lə̀-lɛ̀ŋc-ì,l,itive,dependent
lə̀-lɛ̀ŋc-à,l,ventive,dependent
lə̀-lɛ̀ŋ̀c-í,l,ventive,perfective
lə̀-lɛ̀ŋ̀c-ì,l,itive,dependent
lə̀-lɛ̀ŋ̀c-à,l,ventive,dependent
lə̀-l̀ɛ̀ŋc-í,l,ventive,perfective
lə̀-l̀ɛ̀ŋc-ì,l,itive,dependent
lə̀-l̀ɛ̀ŋc-à,l,ventive,dependent
lə̀-l̀ɛ̀ŋ̀c-í,l,ventive,perfective
lə̀-l̀ɛ̀ŋ̀c-ì,l,itive,dependent
lə̀-l̀ɛ̀ŋ̀c-à,l,ventive,dependent
l-á-lɛ́ŋc-à,l,itive,imperfective
l-á-lɛ́ŋ̀c-à,l,itive,imperfective
l-á-lɛ̀ŋc-í,l,ventive,imperfective
l-á-lɛ̀ŋ̀c-í,l,ventive,imperfective
l-á-ĺɛ̀ŋc-à,l,itive,imperfective
l-á-ĺɛ̀ŋ̀c-à,l,itive,imperfective
l-á-l̀ɛ̀ŋc-í,l,ventive,imperfective
l-á-l̀ɛ̀ŋ̀c-í,l,ventive,imperfective
l-à-lɛ́ŋc-ì,l,itive,perfective
l-à-lɛ́ŋ̀c-ì,l,itive,perfective
l-à-ĺɛ̀ŋc-ì,l,itive,perfective
l-à-ĺɛ̀ŋ̀c-ì,l,itive,perfective
jə̀-lɛ̀ŋc-í,j,ventive,perfective
jə̀-lɛ̀ŋc-ì,j,itive,dependent
jə̀-lɛ̀ŋc-à,j,ventive,dependent
jə̀-lɛ̀ŋ̀c-í,j,ventive,perfective
jə̀-lɛ̀ŋ̀c-ì,j,itive,dependent
jə̀-lɛ̀ŋ̀c-à,j,ventive,dependent
jə̀-l̀ɛ̀ŋc-í,j,ventive,perfective
jə̀-l̀ɛ̀ŋc-ì,j,itive,dependent
jə̀-l̀ɛ̀ŋc-à,j,ventive,dependent
jə̀-l̀ɛ̀ŋ̀c-í,j,ventive,perfective
jə̀-l̀ɛ̀ŋ̀c-ì,j,itive,dependent
jə̀-l̀ɛ̀ŋ̀c-à,j,ventive,dependent
j-á-lɛ́ŋc-à,j,itive,imperfective
j-á-lɛ́ŋ̀c-à,j,itive,imperfective
j-á-lɛ̀ŋc-í,j,ventive,imperfective
j-á-lɛ̀ŋ̀c-í,j,ventive,imperfective
j-á-ĺɛ̀ŋc-à,j,itive,imperfective
j-á-ĺɛ̀ŋ̀c-à,j,itive,imperfective
j-á-l̀ɛ̀ŋc-í,j,ventive,imperfective
j-á-l̀ɛ̀ŋ̀c-í,j,ventive,imperfective
j-à-lɛ́ŋc-ì,j,itive,perfective
j-à-lɛ́ŋ̀c-ì,j,itive,perfective
j-à-ĺɛ̀ŋc-ì,j,itive,perfective
j-à-ĺɛ̀ŋ̀c-ì,j,itive,perfective
gə̀-lɛ̀ŋc-í,g,ventive,perfective
gə̀-lɛ̀ŋc-ì,g,itive,dependent
gə̀-lɛ̀ŋc-à,g,ventive,dependent
gə̀-lɛ̀ŋ̀c-í,g,ventive,perfective
gə̀-lɛ̀ŋ̀c-ì,g,itive,dependent
gə̀-lɛ̀ŋ̀c-à,g,ventive,dependent
gə̀-l̀ɛ̀ŋc-í,g,ventive,perfective
gə̀-l̀ɛ̀ŋc-ì,g,itive,dependent
gə̀-l̀ɛ̀ŋc-à,g,ventive,dependent
gə̀-l̀ɛ̀ŋ̀c-í,g,ventive,perfective
gə̀-l̀ɛ̀ŋ̀c-ì,g,itive,dependent
gə̀-l̀ɛ̀ŋ̀c-à,g,ventive,dependent
g-á-lɛ́ŋc-à,g,itive,imperfective
g-á-lɛ́ŋ̀c-à,g,itive,imperfective
g-á-lɛ̀ŋc-í,g,ventive,imperfective
g-á-lɛ̀ŋ̀c-í,g,ventive,imperfective
g-á-ĺɛ̀ŋc-à,g,itive,imperfective
g-á-ĺɛ̀ŋ̀c-à,g,itive,imperfective
g-á-l̀ɛ̀ŋc-í,g,ventive,imperfective
g-á-l̀ɛ̀ŋ̀c-í,g,ventive,imperfective
g-à-lɛ́ŋc-ì,g,itive,perfective
g-à-lɛ́ŋ̀c-ì,g,itive,perfective
g-à-ĺɛ̀ŋc-ì,g,itive,perfective
g-à-ĺɛ̀ŋ̀c-ì,g,itive,perfective
lə́vc-í,unmarked,itive,imperative
lə̀vc-á,unmarked,ventive,imperative
ĺə́vc-í,unmarked,itive,imperative
l̀ə̀vc-á,unmarked,ventive,imperative
ɲə̀-lə̀vc-í,ɲ,ventive,perfective
ɲə̀-lə̀vc-ì,ɲ,itive,dependent
ɲə̀-lə̀vc-à,ɲ,ventive,dependent
ɲə̀-l̀ə̀vc-í,ɲ,ventive,perfective
ɲə̀-l̀ə̀vc-ì,ɲ,itive,dependent
ɲə̀-l̀ə̀vc-à,ɲ,ventive,dependent
ɲ-á-lə́vc-à,ɲ,itive,imperfective
ɲ-á-lə̀vc-í,ɲ,ventive,imperfective
ɲ-á-ĺə̀vc-à,ɲ,itive,imperfective
ɲ-á-l̀ə̀vc-í,ɲ,ventive,imperfective
ɲ-à-lə́vc-ì,ɲ,itive,perfective
ɲ-à-ĺə̀vc-ì,ɲ,itive,perfective
ŋə̀-lə̀vc-í,ŋ,ventive,perfective
ŋə̀-lə̀vc-ì,ŋ,itive,dependent
ŋə̀-lə̀vc-à,ŋ,ventive,dependent
ŋə̀-l̀ə̀vc-í,ŋ,ventive,perfective
ŋə̀-l̀ə̀vc-ì,ŋ,itive,dependent
ŋə̀-l̀ə̀vc-à,ŋ,ventive,dependent
ŋ-á-lə́vc-à,ŋ,itive,imperfective
ŋ-á-lə̀vc-í,ŋ,ventive,imperfective
ŋ-á-ĺə̀vc-à,ŋ,itive,imperfective
ŋ-á-l̀ə̀vc-í,ŋ,ventive,imperfective
